# List of algae, fungi, and plant species included into the Red Data Book of Ukraine
# this tsv file assembled from GBIF checklist dataset, see citation
# Prylutskyi O, Marushchak O, Vasyliuk O (2023). List of algae, fungi, and plant species included into the Red Data Book of Ukraine. Version 1.1. Ukrainian Nature Conservation Group (NGO). Checklist dataset https://doi.org/10.15468/x2knyk accessed via GBIF.org on 2024-03-13. 
# ----------------------------------------------------------------------------------
vernacularName	scientificName	kingdom	phylum	class	genus	taxonRank	threatStatus
Глевчак однолистий	Malaxis monophyllos (L.) Sw.	Plantae	Tracheophyta	Magnoliopsida	Malaxis	species	вразливий
Левкой запашний	Matthiola fragrans Bunge	Plantae	Tracheophyta	Magnoliopsida	Matthiola	species	рідкісний
Люцерна приморська	Medicago marina L.	Plantae	Tracheophyta	Magnoliopsida	Medicago	species	вразливий
Люцерна щебениста	Medicago saxatilis M.Bieb.	Plantae	Tracheophyta	Magnoliopsida	Medicago	species	неоцінений
Мерингія бузька	Moehringia hypanica Grynj & Klokov	Plantae	Tracheophyta	Magnoliopsida	Moehringia	species	рідкісний
Гадюча цибулька гроноподібна	Muscari botryoides (L.) Mill.	Plantae	Tracheophyta	Magnoliopsida	Muscari	species	зникаючий
Нарцис вузьколистий	Narcissus angustifolius Curtis	Plantae	Tracheophyta	Magnoliopsida	Narcissus	species	вразливий
Неотінея тризубчаста	Neotinea tridentata (Scop.) R.M. Bateman, Pridgeon & M.W. Chase	Plantae	Tracheophyta	Magnoliopsida	Neotinea	species	зникаючий
Неотінея обпалена	Neotinea ustulata (L.) R.M. Bateman, Pridgeon & M.W. Chase	Plantae	Tracheophyta	Magnoliopsida	Neotinea	species	зникаючий
Гніздівка серцелиста	Neottia cordata (L.) Rich.	Plantae	Tracheophyta	Magnoliopsida	Neottia	species	вразливий
Гніздівка звичайна	Neottia nidus-avis (L.) Rich.	Plantae	Tracheophyta	Magnoliopsida	Neottia	species	неоцінений
Гніздівка яйцелиста	Neottia ovata (L.) Bluff & Fingerh.	Plantae	Tracheophyta	Magnoliopsida	Neottia	species	неоцінений
Чорнянка карпатська	Nigritella carpatica (Zapal.) Teppner, Klein & Zagulski	Plantae	Tracheophyta	Magnoliopsida	Nigritella	species	зникаючий
Селітрянка Шобера	Nitraria schoberi L.	Plantae	Tracheophyta	Magnoliopsida	Nitraria	species	зникаючий
Плавун щитолистий	Nymphoides peltata (S.G.Gmel.) O.Kuntze	Plantae	Tracheophyta	Magnoliopsida	Nymphoides	species	вразливий
Одонтарена Борзи	Odontarrhena borzaeana (Nyar.) D.A. German	Plantae	Tracheophyta	Magnoliopsida	Odontarrhena	species	вразливий
Одонтарена голоніжкова	Odontarrhena gymnopoda (P.A. Smirn.) D.A. German	Plantae	Tracheophyta	Magnoliopsida	Odontarrhena	species	вразливий
Одонтарена савранська	Odontarrhena savranica (Andrz. ex Besser) D.A. German	Plantae	Tracheophyta	Magnoliopsida	Odontarrhena	species	зникаючий
Солониця однотичинкова	Ofaiston monandrum (Pall.) Moq.	Plantae	Tracheophyta	Magnoliopsida	Ofaiston	species	вразливий
Еспарцет Палласа	Onobrychis pallasii (Willd.) M.Bieb.	Plantae	Tracheophyta	Magnoliopsida	Onobrychis	species	вразливий
Еспарцет Васильченка	Onobrychis vassilczenkoi Grossh.	Plantae	Tracheophyta	Magnoliopsida	Onobrychis	species	зникаючий
Громовик гранітний	Onosma graniticola Klokov	Plantae	Tracheophyta	Magnoliopsida	Onosma	species	зникаючий
Громовик багатолистий	Onosma polyphylla Ledeb.	Plantae	Tracheophyta	Magnoliopsida	Onosma	species	вразливий
Громовик донський	Onosma tanaitica Klokov	Plantae	Tracheophyta	Magnoliopsida	Onosma	species	неоцінений
Офрис бджолоносна	Ophrys apifera Huds.	Plantae	Tracheophyta	Magnoliopsida	Ophrys	species	зникаючий
Офрис комахоносна	Ophrys insectifera L.	Plantae	Tracheophyta	Magnoliopsida	Ophrys	species	зникаючий
Офрис оводоносна	Ophrys oestrifera M.Bieb.	Plantae	Tracheophyta	Magnoliopsida	Ophrys	species	зникаючий
Офрис кримська	Ophrys taurica (Aggeenko) Nevski	Plantae	Tracheophyta	Magnoliopsida	Ophrys	species	зникаючий
Зозулинець чоловічий	Orchis mascula (L.) L.	Plantae	Tracheophyta	Magnoliopsida	Orchis	species	вразливий
Зозулинець шоломоносний	Orchis militaris L.	Plantae	Tracheophyta	Magnoliopsida	Orchis	species	вразливий
Зозулинець блідий	Orchis pallens L.	Plantae	Tracheophyta	Magnoliopsida	Orchis	species	зникаючий
Зозулинець прованський	Orchis provincialis Balb.	Plantae	Tracheophyta	Magnoliopsida	Orchis	species	зникаючий
Зозулинець дрібнокрапчастий	Orchis punctulata Steven ex Lindl.	Plantae	Tracheophyta	Magnoliopsida	Orchis	species	зникаючий
Зозулинець пурпуровий	Orchis purpurea Huds.	Plantae	Tracheophyta	Magnoliopsida	Orchis	species	вразливий
Зозулинець прикрашений	Orchis signifera Vest	Plantae	Tracheophyta	Magnoliopsida	Orchis	species	зникаючий
Зозулинець мавпячий	Orchis simia Lam.	Plantae	Tracheophyta	Magnoliopsida	Orchis	species	вразливий
Зозулинець Ванькова	Orchis wanjkowii E.Wulff	Plantae	Tracheophyta	Magnoliopsida	Orchis	species	недостатньо відомий
Горянка дворядна	Oreochloa disticha (Wulfen) Link	Plantae	Tracheophyta	Magnoliopsida	Oreochloa	species	зникаючий
Рястка двозначна	Ornithogalum amphibolum Zahar.	Plantae	Tracheophyta	Magnoliopsida	Ornithogalum	species	зникаючий
Рястка Буше	Ornithogalum boucheanum (Kunth) Asch.	Plantae	Tracheophyta	Magnoliopsida	Ornithogalum	species	неоцінений
Рястка гірська	Ornithogalum oreoides Zahar.	Plantae	Tracheophyta	Magnoliopsida	Ornithogalum	species	вразливий
Рястка відігнута	Ornithogalum refractum Schlecht.	Plantae	Tracheophyta	Magnoliopsida	Ornithogalum	species	вразливий
Пташник крихітний	Ornithopus perpusillus L.	Plantae	Tracheophyta	Magnoliopsida	Ornithopus	species	вразливий
Кисличник двостовпчиковий	Oxyria digina (L.) Hill.	Plantae	Tracheophyta	Magnoliopsida	Oxyria	species	рідкісний
Півонія кримська	Paeonia daurica Andrews	Plantae	Tracheophyta	Magnoliopsida	Paeonia	species	вразливий
Півонія тонколиста	Paeonia tenuifolia L.	Plantae	Tracheophyta	Magnoliopsida	Paeonia	species	вразливий
Палімбія солончакова	Palimbia salsa (L. f.) Besser	Plantae	Tracheophyta	Magnoliopsida	Palimbia	species	вразливий
Палімбія тургайська	Palimbia turgaica Lipsky ex Woronow	Plantae	Tracheophyta	Magnoliopsida	Palimbia	species	зникаючий
Дволусківниця зігнута	Parapholis incurva (L.) C.E.Hubb.	Plantae	Tracheophyta	Magnoliopsida	Parapholis	species	недостатньо відомий
Шолудивник високий	Pedicularis exaltata Besser	Plantae	Tracheophyta	Magnoliopsida	Pedicularis	species	вразливий
Шолудивник Едера	Pedicularis oederi Vahl	Plantae	Tracheophyta	Magnoliopsida	Pedicularis	species	зникаючий
Шолудивник королівський	Pedicularis sceptrum-carolinum L.	Plantae	Tracheophyta	Magnoliopsida	Pedicularis	species	вразливий
Шолудивник лісовий	Pedicularis sylvatica L.	Plantae	Tracheophyta	Magnoliopsida	Pedicularis	species	вразливий
Накорінниця червона	Phelypaea coccinea (M.Bieb.) Poir.	Plantae	Tracheophyta	Magnoliopsida	Phelypaea	species	зникаючий
Залізняк скіфський	Phlomoides scythica (Klokov & Des.-Shost.) Czer.	Plantae	Tracheophyta	Magnoliopsida	Phlomoides	species	вразливий
Товстянка альпійська	Pinguicula alpina L.	Plantae	Tracheophyta	Magnoliopsida	Pinguicula	species	вразливий
Товстянка двоколірна	Pinguicula bicolor Wol.	Plantae	Tracheophyta	Magnoliopsida	Pinguicula	species	зникаючий
Товстянка звичайна	Pinguicula vulgaris L.	Plantae	Tracheophyta	Magnoliopsida	Pinguicula	species	вразливий
Фісташка туполиста	Pistacia mutica Fisch. & C.A.Mey.	Plantae	Tracheophyta	Magnoliopsida	Pistacia	species	неоцінений
Горох високий	Pisum elatius M.Bieb.	Plantae	Tracheophyta	Magnoliopsida	Pisum	species	неоцінений
Любка дволиста	Platanthera bifolia (L.) Rich.	Plantae	Tracheophyta	Magnoliopsida	Platanthera	species	неоцінений
Любка зеленоквіткова	Platanthera chlorantha (Cust.) Rchb.	Plantae	Tracheophyta	Magnoliopsida	Platanthera	species	неоцінений
Тонконіг Ремана	Poa rehmannii (Asch. & Graebn.) Wol.	Plantae	Tracheophyta	Magnoliopsida	Poa	species	рідкісний
Понерорхіс каптуруватий	Ponerorchis cucullata (L.) X.H. Jin, Schuit. & W.T. Jin	Plantae	Tracheophyta	Magnoliopsida	Ponerorchis	species	зникаючий
Прангос трироздільний	Prangos trifida (Mill.) Herrnst. & Heyn	Plantae	Tracheophyta	Magnoliopsida	Prangos	species	рідкісний
Первоцвіт борошнистий	Primula farinosa L.	Plantae	Tracheophyta	Magnoliopsida	Primula	species	зниклий в природі
Первоцвіт Галлера	Primula halleri J.F. Gmel.	Plantae	Tracheophyta	Magnoliopsida	Primula	species	рідкісний
Первоцвіт дрібний	Primula minima L.	Plantae	Tracheophyta	Magnoliopsida	Primula	species	рідкісний
Ламкоколосник ситниковий	Psathyrostachys juncea (Fisch.) Nevski	Plantae	Tracheophyta	Magnoliopsida	Psathyrostachys	species	рідкісний
Псевдорхіс білуватий	Pseudorchis albida (L.) A.Love & D.Love	Plantae	Tracheophyta	Magnoliopsida	Pseudorchis	species	вразливий
Псевдорегнерія ковилолиста	Pseudoroegneria stipifolia (Trautv.) A.Love	Plantae	Tracheophyta	Magnoliopsida	Pseudoroegneria	species	неоцінений
Сон великий	Pulsatilla grandis Wender.	Plantae	Tracheophyta	Magnoliopsida	Pulsatilla	species	вразливий
Сон розкритий	Pulsatilla patens (L.) Mill.	Plantae	Tracheophyta	Magnoliopsida	Pulsatilla	species	неоцінений
Сон лучний	Pulsatilla pratensis (L.) Mill.	Plantae	Tracheophyta	Magnoliopsida	Pulsatilla	species	неоцінений
Сон Шерфеля	Pulsatilla scherfelii (Ullep) Skalicky	Plantae	Tracheophyta	Magnoliopsida	Pulsatilla	species	рідкісний
Сон кримський	Pulsatilla taurica Juz.	Plantae	Tracheophyta	Magnoliopsida	Pulsatilla	species	неоцінений
Дуб кошенільний	Quercus cerris L.	Plantae	Tracheophyta	Magnoliopsida	Quercus	species	рідкісний
Жовтець тора	Ranunculus thora L. (R. tatrae Borbбs)	Plantae	Tracheophyta	Magnoliopsida	Ranunculus	species	рідкісний
Редька приморська	Raphanus maritimus Smith	Plantae	Tracheophyta	Magnoliopsida	Raphanus	species	вразливий
Жостір фарбувальний	Rhamnus tinctoria Waldst. & Kit.	Plantae	Tracheophyta	Magnoliopsida	Rhamnus	species	рідкісний
Волошка Талієва	Rhaponticoides taliewii (Kleopow) M.V.Agab. & Greuter	Plantae	Tracheophyta	Magnoliopsida	Rhaponticoides	species	вразливий
Дзвінець крейдовий	Rhinanthus cretaceus Vassilcz.	Plantae	Tracheophyta	Magnoliopsida	Rhinanthus	species	недостатньо відомий
Родіола рожева	Rhodiola rosea L.	Plantae	Tracheophyta	Magnoliopsida	Rhodiola	species	вразливий
Рододендрон східнокарпатський	Rhododendron kotschyi Simonk.	Plantae	Tracheophyta	Magnoliopsida	Rhododendron	species	неоцінений
Шипшина Чацького	Rosa czackiana Besser	Plantae	Tracheophyta	Magnoliopsida	Rosa	species	неоцінений
Шипшина донецька	Rosa donetzica Dubovik	Plantae	Tracheophyta	Magnoliopsida	Rosa	species	недостатньо відомий
Румія критмолиста	Rumia crithmifolia (Willd.) Koso-Pol.	Plantae	Tracheophyta	Magnoliopsida	Rumia	species	неоцінений
Рускус під’язиковий	Ruscus hypoglossum L.	Plantae	Tracheophyta	Magnoliopsida	Ruscus	species	рідкісний
Сабуліна гостропелюсткова	Sabulina oxypetala (Woł..) Mosyakin & Fedor.	Plantae	Tracheophyta	Magnoliopsida	Sabulina oxypetala (Woł..)	species	зникаючий
Сабуліна весняна	Sabulina verna (L.) Rchb.	Plantae	Tracheophyta	Magnoliopsida	Sabulina	species	рідкісний
Верба альпійська	Salix alpina Scop.	Plantae	Tracheophyta	Magnoliopsida	Salix	species	зникаючий
Верба трав’яна	Salix herbacea L.	Plantae	Tracheophyta	Magnoliopsida	Salix	species	рідкісний
Верба лапландська	Salix lapponum L.	Plantae	Tracheophyta	Magnoliopsida	Salix	species	вразливий
Верба чорнична	Salix myrtilloides L.	Plantae	Tracheophyta	Magnoliopsida	Salix	species	вразливий
Верба туполиста	Salix retusa L.	Plantae	Tracheophyta	Magnoliopsida	Salix	species	рідкісний
Верба Старке	Salix starkeana Willd.	Plantae	Tracheophyta	Magnoliopsida	Salix	species	вразливий
Шавлія кременецька	Salvia cremenecensis Besser	Plantae	Tracheophyta	Magnoliopsida	Salvia	species	рідкісний
Шавлія скабіозолиста	Salvia scabiosifolia Lam.	Plantae	Tracheophyta	Magnoliopsida	Salvia	species	неоцінений
Соссюрея альпійська	Saussurea alpina (L.) DC.	Plantae	Tracheophyta	Magnoliopsida	Saussurea	species	рідкісний
Соссюрея різноколірна	Saussurea discolor (Willd.) DC.	Plantae	Tracheophyta	Magnoliopsida	Saussurea	species	зникаючий
Соссюрея Порціуса	Saussurea porcii Degen	Plantae	Tracheophyta	Magnoliopsida	Saussurea	species	рідкісний
Ломикамінь аїзоподібний	Saxifraga aizoides L.	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	species	зникаючий
Ломикамінь переломниковий	Saxifraga androsacea L.	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	species	рідкісний
Ломикамінь мохоподібний	Saxifraga bryoides L.	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	species	рідкісний
Ломикамінь бульбистий	Saxifraga bulbifera L.	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	species	зникаючий
Ломикамінь карпатський	Saxifraga carpatica Rchb.	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	species	рідкісний
Ломикамінь зернистий	Saxifraga granulata L.	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	species	зникаючий
Ломикамінь болотний	Saxifraga hirculus L.	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	species	вразливий
Ломикамінь жовто-зелений	Saxifraga luteoviridis Schott & Kotschy	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	species	рідкісний
Ломикамінь супротивнолистий	Saxifraga oppositifolia L.	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	species	зниклий в природі
Ломикамінь напівзонтиковий	Saxifraga pedemontana subsp. cymosa (Waldst. & Kit.) Engl.	Plantae	Tracheophyta	Magnoliopsida	Saxifraga	subspecies	зникаючий
Шенкія колосиста	Schenkia spicata (L.) Mans.	Plantae	Tracheophyta	Magnoliopsida	Schenkia	species	неоцінений
Шейхцерія болотна	Scheuchzeria palustris L.	Plantae	Tracheophyta	Magnoliopsida	Scheuchzeria	species	вразливий
Куга гострокінцева	Schoenoplectiella mucronata (L.) J.Jung & H.K.Choi	Plantae	Tracheophyta	Magnoliopsida	Schoenoplectiella	species	вразливий
Сашник іржавий	Schoenus ferrugineus L.	Plantae	Tracheophyta	Magnoliopsida	Schoenus	species	вразливий
Скополія карніолійська	Scopolia carniolica Jacq.	Plantae	Tracheophyta	Magnoliopsida	Scopolia	species	неоцінений
Ранник крейдовий	Scrophularia cretacea Fisch. ex Spreng.	Plantae	Tracheophyta	Magnoliopsida	Scrophularia	species	неоцінений
Ранник донецький	Scrophularia donetzica Kotov	Plantae	Tracheophyta	Magnoliopsida	Scrophularia	species	неоцінений
Ранник гранітний	Scrophularia granitica Klokov & A.Krasnova	Plantae	Tracheophyta	Magnoliopsida	Scrophularia	species	недостатньо відомий
Ранник весняний	Scrophularia vernalis L.	Plantae	Tracheophyta	Magnoliopsida	Scrophularia	species	вразливий
Шоломниця крейдова	Scutellaria creticola Juz.	Plantae	Tracheophyta	Magnoliopsida	Scutellaria	species	неоцінений
Шоломниця весняна	Scutellaria verna Besser	Plantae	Tracheophyta	Magnoliopsida	Scutellaria	species	рідкісний
Сокироносиця струнка	Securigera elegans (Pancic) Lassen	Plantae	Tracheophyta	Magnoliopsida	Securigera	species	вразливий
Очиток іспанський	Sedum hispanicum L.	Plantae	Tracheophyta	Magnoliopsida	Sedum	species	рідкісний
Молодило мармурове	Sempervivum marmoreum Griseb.	Plantae	Tracheophyta	Magnoliopsida	Sempervivum	species	зникаючий
Молодило гірське	Sempervivum montanum L.	Plantae	Tracheophyta	Magnoliopsida	Sempervivum	species	рідкісний
Жовтозілля Бессера	Senecio besserianus Minder.	Plantae	Tracheophyta	Magnoliopsida	Senecio	species	вразливий
Жовтозілля карпатське	Senecio capraticus Herbich	Plantae	Tracheophyta	Magnoliopsida	Senecio	species	рідкісний
Серпій вовконоголистий	Serratula lycopifolia (Vill.) A.Kern.	Plantae	Tracheophyta	Magnoliopsida	Serratula	species	вразливий
Жабриця Лемана	Seseli lehmannii Degen	Plantae	Tracheophyta	Magnoliopsida	Seseli	species	рідкісний
Сеслерія голуба	Sesleria caerulea (L.) Ard.	Plantae	Tracheophyta	Magnoliopsida	Sesleria	species	зникаючий
Смілкоквітка Завадського	Silenanthe zawadzkii (Herbich) Griseb. & Schenk	Plantae	Tracheophyta	Magnoliopsida	Silenanthe	species	зникаючий
Смілка крейдова	Silene cretacea Fisch. ex Spreng.	Plantae	Tracheophyta	Magnoliopsida	Silene	species	вразливий
Смілка яйлинська	Silene jailensis N.I.Rubtzov	Plantae	Tracheophyta	Magnoliopsida	Silene	species	зникаючий
Смілка Ситника	Silene sytnikii Krytzka, Novosad & Protopopova	Plantae	Tracheophyta	Magnoliopsida	Silene	species	вразливий
Смілка зеленоквіткова	Silene viridiflora L.	Plantae	Tracheophyta	Magnoliopsida	Silene	species	рідкісний
Соболевськія сибірська	Sobolewskia sibirica (Willd.) P.W.Ball	Plantae	Tracheophyta	Magnoliopsida	Sobolewskia	species	рідкісний
Содниця загострена	Soda acutifolia (Bunge) Mosyakin, Freitag & Rilke	Plantae	Tracheophyta	Magnoliopsida	Soda	species	вразливий
Трубкоцвіт сумнівний	Solenanthus dubius Fisch. & C.A.Mey.	Plantae	Tracheophyta	Magnoliopsida	Solenanthus	species	рідкісний
Софора китникоподібна	Sophora alopecuroides L.	Plantae	Tracheophyta	Magnoliopsida	Sophora	species	зникаючий
Їжача голівка вузьколиста	Sparganium angustifolium Michx.	Plantae	Tracheophyta	Magnoliopsida	Sparganium	species	зникаючий
Таволга пиківська	Spiraea pikoviensis Besser	Plantae	Tracheophyta	Magnoliopsida	Spiraea	species	зникаючий
Таволга польська	Spiraea polоnica Błocki	Plantae	Tracheophyta	Magnoliopsida	Spiraea	species	зникаючий
Скрученик приємний	Spiranthes amoena (M.Bieb.) Spreng.	Plantae	Tracheophyta	Magnoliopsida	Spiranthes	species	зникаючий
Скрученик спіральний	Spiranthes spiralis (L.) Chevall.	Plantae	Tracheophyta	Magnoliopsida	Spiranthes	species	зникаючий
Чистець вузьколистий	Stachys angustifolia М.Bieb.	Plantae	Tracheophyta	Magnoliopsida	Stachys	species	рідкісний
Клокичка периста	Staphylea pinnata L.	Plantae	Tracheophyta	Magnoliopsida	Staphylea	species	рідкісний
Осінник пізньоцвітовий	Sternbergia colchiciflora Waldst. & Kit.	Plantae	Tracheophyta	Magnoliopsida	Sternbergia	species	вразливий
Стевеніела сатирієподібна	Steveniella satyrioides (Spreng.) Schltr.	Plantae	Tracheophyta	Magnoliopsida	Steveniella	species	зникаючий
Ковила дивна	Stipa adoxa Klokov & Ossycznjuk	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила відмінна	Stipa anomala P.Smirn. ex Roshev.	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	зникаючий
Ковила шорстка	Stipa asperella Klokov & Ossycznjuk	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила дніпровська	Stipa borysthenica Klokov ex Prokudin	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	вразливий
Ковила короткокрила	Stipa brachyptera Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила Браунера	Stipa brauneri (Pacz.) Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	неоцінений
Ковила волосиста	Stipa capillata L.	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	неоцінений
